K-C00334, J055520
K-C00334, J110145
K-C00334, J164710
K-C00334, J200727
G-C00324, Thera
K-C00334, J174618
A-C00311, J105443
A-C00311, J100744
A-C00311, J225046
A-C00311, J160837
A-C00311, J114700
A-C00311, J134914
A-C00312, J102655
A-C00312, J134312
A-C00312, J205818
A-C00312, J113434
A-C00312, J105711
A-C00312, J164218
A-C00312, J154535
A-C00312, J111301
A-C00312, J135038
A-C00312, J121358
A-C00312, J222914
A-C00312, J155429
A-C00313, J204640
A-C00313, J162604
A-C00313, J164807
A-C00313, J233317
A-C00313, J155023
A-C00313, J112628
A-C00313, J153001
A-C00313, J143204
A-C00313, J101729
A-C00313, J221203
A-C00314, J125428
A-C00314, J131854
A-C00314, J160534
A-C00314, J144855
A-C00314, J101453
A-C00314, J144913
A-C00314, J144530
A-C00314, J135411
A-C00314, J125713
A-C00314, J105521
A-C00315, J224324
A-C00315, J163203
A-C00315, J171818
A-C00315, J145337
A-C00315, J150131
A-C00315, J130842
A-C00315, J145406
A-C00315, J103404
A-C00315, J112124
A-C00316, J124926
A-C00316, J232605
A-C00316, J144938
A-C00316, J233828
A-C00316, J130714
A-C00316, J142701
A-C00316, J154226
A-C00316, J125843
A-C00316, J155459
A-C00317, J225555
A-C00317, J115549
A-C00317, J140741
A-C00317, J104140
A-C00317, J101757
A-C00317, J100250
A-C00317, J113721
A-C00317, J105039
A-C00317, J233550
A-C00318, J114033
A-C00318, J105936
A-C00318, J140121
A-C00318, J154029
A-C00318, J101336
A-C00318, J160039
A-C00318, J161257
A-C00318, J144303
A-C00318, J121131
A-C00318, J113653
A-C00318, J123454
A-C00318, J110750
A-C00319, J151106
A-C00319, J100040
A-C00319, J223733
A-C00319, J110431
A-C00319, J134446
A-C00319, J143202
A-C00319, J210436
A-C00319, J133030
A-C00319, J170645
A-C00320, J103151
A-C00320, J222206
A-C00320, J130602
A-C00320, J123708
A-C00320, J123831
A-C00320, J164927
A-C00320, J134143
A-C00320, J214534
A-C00320, J135250
A-C00320, J111707
A-C00320, J135245
A-C00320, J101408
A-C00321, J215117
A-C00321, J141019
A-C00321, J102206
A-C00321, J125903
A-C00321, J134939
A-C00321, J162641
A-C00321, J152537
A-C00321, J224442
A-C00321, J104138
A-C00321, J121516
A-C00321, J114540
A-C00321, J155013
A-C00322, J144450
A-C00322, J141239
A-C00322, J115545
A-C00322, J114905
A-C00322, J120522
A-C00322, J172907
A-C00322, J164550
A-C00322, J141812
A-C00322, J134637
A-C00322, J134132
A-C00322, J125011
A-C00323, J105942
A-C00323, J171653
A-C00323, J110213
A-C00323, J115048
A-C00323, J174405
A-C00323, J123111
A-C00323, J123047
A-C00323, J231541
A-C00323, J215900
A-C00323, J110651
A-C00323, J140602
A-C00323, J163804
A-C00001, J125209
A-C00001, J140831
A-C00001, J161811
A-C00001, J112913
A-C00001, J105632
A-C00001, J160710
A-C00001, J160835
A-C00001, J122659
A-C00001, J130931
A-C00001, J161115
A-C00001, J120734
A-C00002, J110906
A-C00002, J121418
A-C00002, J113820
A-C00002, J113506
A-C00002, J172240
A-C00002, J110101
A-C00002, J110108
A-C00002, J213555
A-C00002, J144704
A-C00002, J115815
A-C00002, J133653
A-C00002, J171700
A-C00003, J104628
A-C00003, J114546
A-C00003, J235419
A-C00003, J204503
A-C00003, J215417
A-C00003, J110545
A-C00003, J153536
A-C00003, J150407
A-C00003, J153530
A-C00003, J131232
A-C00003, J101020
A-C00004, J133613
A-C00004, J165901
A-C00004, J152006
A-C00004, J160345
A-C00004, J134330
A-C00004, J213342
A-C00004, J150745
A-C00004, J165056
A-C00004, J150827
A-C00004, J144632
A-C00004, J102630
A-C00004, J133335
A-C00005, J125925
A-C00005, J142617
A-C00005, J150818
A-C00005, J114420
A-C00005, J112250
A-C00005, J155935
A-C00005, J115738
A-C00005, J232715
A-C00005, J110051
A-C00006, J152928
A-C00006, J132216
A-C00006, J132758
A-C00006, J134145
A-C00006, J102849
A-C00006, J120335
A-C00006, J104439
A-C00006, J122717
A-C00006, J101817
A-C00006, J131551
A-C00007, J115200
A-C00007, J155029
A-C00007, J223703
A-C00007, J233359
A-C00007, J114107
A-C00007, J152014
A-C00007, J100211
A-C00007, J104103
A-C00007, J171019
A-C00007, J114313
A-C00008, J130542
A-C00008, J114719
A-C00008, J130322
A-C00008, J161524
A-C00008, J162858
A-C00008, J121158
A-C00008, J113050
A-C00008, J141514
A-C00008, J220654
A-C00008, J162118
A-C00008, J231004
A-C00008, J120621
A-C00009, J151601
A-C00009, J105837
A-C00009, J143133
A-C00009, J100422
A-C00009, J104335
A-C00009, J105700
A-C00009, J215431
A-C00009, J143628
A-C00009, J141150
A-C00009, J163743
A-C00009, J161509
A-C00009, J150629
A-C00010, J141017
A-C00010, J130045
A-C00010, J123748
A-C00010, J124051
A-C00010, J151141
A-C00010, J112129
A-C00010, J213653
A-C00010, J143649
A-C00010, J223855
A-C00010, J140019
A-C00010, J110605
A-C00010, J122843
A-C00011, J205004
A-C00011, J122114
A-C00011, J163533
A-C00011, J151518
A-C00011, J122712
A-C00011, J143002
A-C00011, J160307
A-C00011, J213932
A-C00011, J102414
A-C00011, J170949
A-C00012, J235001
A-C00012, J103320
A-C00012, J141038
A-C00012, J172003
A-C00012, J124215
A-C00012, J215754
A-C00012, J102837
A-C00012, J130155
A-C00012, J170544
A-C00012, J142649
A-C00013, J150539
A-C00013, J163156
A-C00013, J120338
